tool		CRAMC 	CRAMC 	CRAMC 	CRAMC 	CRAMC 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 
run set		CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel
tasks/		status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
loop-acceleration/nested_1-2.yml	false	TIMEOUT	180.899365749	181.03030327499437	568.836096	4689.664490					
loop-acceleration/overflow_1-1.yml	true	true	0.366193869	0.293501403008122	198.549504	8.955750					
loop-acceleration/phases_1-1.yml	true	TIMEOUT	180.909054962	181.03099108800234	540.823552	4670.682068					
loop-acceleration/phases_1-2.yml	false	TIMEOUT	180.905806046	181.02980408900476	542.990336	4595.271301					
loop-acceleration/phases_2-1.yml	false	TIMEOUT	181.230943956	181.16769448200648	4013.699072	4718.462891					
loop-acceleration/phases_2-2.yml	true	TIMEOUT	181.198795797	181.18341389899433	4581.154816	5073.510193					
loop-acceleration/simple_1-1.yml	false	TIMEOUT	180.857580222	181.02414993100683	394.551296	4621.020874					
loop-acceleration/simple_1-1_abstracted.yml	false	false	0.292365537	0.22140658801072277	88.567808	6.804993					
loop-acceleration/simple_1-2.yml	true	true	0.366918878	0.30031556700123474	198.787072	8.511047					
loop-acceleration/simple_1-2_abstracted.yml	true	true	0.297505698	0.22802467599103693	89.391104	6.827759					
loop-acceleration/simple_2-1.yml	true	true	0.349280692	0.29332230699947104	163.426304	8.293762					
loop-acceleration/simple_2-1_abstracted.yml	true	true	0.297602524	0.24067297999863513	89.452544	7.310547					
loop-acceleration/simple_2-2.yml	false	TIMEOUT	180.910117612	181.02017260900175	359.284736	4585.135437					
loop-acceleration/simple_3-1.yml	false	unknown	0.604867474	0.4596618759969715	216.641536	13.680786					
loop-acceleration/simple_3-2.yml	true	true	0.606414735	0.47391143201093655	217.571328	14.122253					
loop-acceleration/simple_4-1.yml	false	TIMEOUT	180.791736454	181.02425056300126	432.087040	4779.014160					
loop-acceleration/simple_4-1_abstracted.yml	false	false	0.291212841	0.2309411799942609	88.596480	6.959778					
