   BENCHMARK INFORMATION
CRAMC
benchmark definition:    benchmark-defs/CRAMC.xml
name:                    CRAMC
run sets:                loopy
date:                    Tue, 2023-04-18 23:16:14 EDT
tool:                    CRAMC
tool executable:         ~/fast/duet-IW/duet.exe
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



loopy
Run set 1 of 1 with options '-mcl-concolic' and propertyfile 'None'

inputfile                                           status                       cpu time   wall time        host
recursive-simple/afterrec-2.yml                     true                             0.70        0.56        None
recursive-simple/afterrec_2calls-1.yml              true                             0.91        0.77        None
recursive-simple/afterrec_2calls-2.yml              true                             0.90        0.77        None
recursive-simple/fibo_10-1.yml                      TIMEOUT                        180.98      181.09        None
recursive-simple/fibo_10-2.yml                      TIMEOUT                        181.05      181.09        None
recursive-simple/fibo_15-1.yml                      TIMEOUT                        181.09      181.09        None
recursive-simple/fibo_15-2.yml                      TIMEOUT                        180.98      181.09        None
recursive-simple/fibo_20-1.yml                      TIMEOUT                        181.10      181.09        None
recursive-simple/fibo_20-2.yml                      TIMEOUT                        181.08      181.09        None
recursive-simple/fibo_25-1.yml                      TIMEOUT                        181.01      181.09        None
recursive-simple/fibo_25-2.yml                      TIMEOUT                        181.08      181.09        None
recursive-simple/fibo_2calls_10-1.yml               false                            3.29        3.14        None
recursive-simple/fibo_2calls_10-2.yml               TIMEOUT                        181.09      181.10        None
recursive-simple/fibo_2calls_15-1.yml               TIMEOUT                        181.10      181.10        None
recursive-simple/fibo_2calls_15-2.yml               TIMEOUT                        181.07      181.10        None
recursive-simple/fibo_2calls_2-1.yml                false                            1.26        1.12        None
recursive-simple/fibo_2calls_2-2.yml                true                             1.26        1.13        None
recursive-simple/fibo_2calls_20-1.yml               TIMEOUT                        181.08      181.10        None
recursive-simple/fibo_2calls_20-2.yml               TIMEOUT                        181.13      181.10        None
recursive-simple/fibo_2calls_25-1.yml               TIMEOUT                        181.10      181.10        None
recursive-simple/fibo_2calls_25-2.yml               TIMEOUT                        181.07      181.10        None
recursive-simple/fibo_2calls_4-1.yml                false                            1.32        1.17        None
recursive-simple/fibo_2calls_4-2.yml                false                            1.30        1.16        None
recursive-simple/fibo_2calls_5-1.yml                false                            1.37        1.22        None
recursive-simple/fibo_2calls_5-2.yml                false                            1.37        1.22        None
recursive-simple/fibo_2calls_6-1.yml                false                            1.51        1.37        None
recursive-simple/fibo_2calls_6-2.yml                false                            1.47        1.32        None
recursive-simple/fibo_2calls_8-1.yml                TIMEOUT                        181.07      181.10        None
recursive-simple/fibo_2calls_8-2.yml                TIMEOUT                        181.11      181.10        None
recursive-simple/fibo_5-1.yml                       TIMEOUT                        181.06      181.09        None
recursive-simple/fibo_5-2.yml                       TIMEOUT                        181.04      181.09        None
recursive-simple/fibo_7-1.yml                       TIMEOUT                        181.06      181.09        None
recursive-simple/fibo_7-2.yml                       TIMEOUT                        181.07      181.09        None
recursive-simple/id2_b2_o3.yml                      true                             0.98        0.84        None
recursive-simple/id2_b3_o2.yml                      false                            0.96        0.84        None
recursive-simple/id2_b3_o5.yml                      true                             0.98        0.84        None
recursive-simple/id2_b5_o10.yml                     true                             0.98        0.83        None
recursive-simple/id2_i5_o5-1.yml                    false                            0.88        0.73        None
recursive-simple/id2_i5_o5-2.yml                    true                             0.84        0.70        None
recursive-simple/id_b2_o3.yml                       true                             0.91        0.77        None
recursive-simple/id_b3_o2-2.yml                     true                             0.91        0.77        None
recursive-simple/id_b3_o5-2.yml                     true                             0.91        0.77        None
recursive-simple/id_b5_o10-2.yml                    true                             0.90        0.76        None
recursive-simple/id_i10_o10-1.yml                   false                            0.84        0.71        None
recursive-simple/id_i10_o10-2.yml                   true                             0.78        0.65        None
recursive-simple/id_i15_o15-1.yml                   true                             0.78        0.64        None
recursive-simple/id_i15_o15-2.yml                   false                            0.87        0.73        None
recursive-simple/id_i20_o20-1.yml                   true                             0.77        0.63        None
recursive-simple/id_i20_o20-2.yml                   false                            0.90        0.76        None
recursive-simple/id_i25_o25-1.yml                   true                             0.77        0.63        None
recursive-simple/id_i25_o25-2.yml                   false                            0.94        0.80        None
recursive-simple/id_i5_o5-1.yml                     false                            0.81        0.67        None
recursive-simple/id_i5_o5-2.yml                     true                             0.77        0.63        None
recursive-simple/id_o10.yml                         false                            0.85        0.71        None
recursive-simple/id_o100.yml                        false                            1.96        1.82        None
recursive-simple/id_o1000.yml                       false                          102.76      102.65        None
recursive-simple/id_o20.yml                         false                            0.93        0.78        None
recursive-simple/id_o200.yml                        false                            4.45        4.31        None
recursive-simple/id_o3.yml                          false                            0.80        0.66        None
recursive-simple/sum_10x0-1.yml                     true                             0.83        0.69        None
recursive-simple/sum_10x0-2.yml                     false                            0.91        0.77        None
recursive-simple/sum_15x0-1.yml                     true                             0.83        0.69        None
recursive-simple/sum_15x0-2.yml                     false                            0.95        0.81        None
recursive-simple/sum_20x0-1.yml                     false                            0.99        0.85        None
recursive-simple/sum_20x0-2.yml                     true                             0.83        0.69        None
recursive-simple/sum_25x0-1.yml                     true                             0.83        0.69        None
recursive-simple/sum_25x0-2.yml                     false                            1.02        0.89        None
recursive-simple/sum_2x3-1.yml                      false                            0.85        0.70        None
recursive-simple/sum_2x3-2.yml                      true                             0.83        0.69        None
recursive-simple/sum_non_eq-2.yml                   true                             0.85        0.71        None
recursive-simple/sum_non_eq-3.yml                   false                            0.86        0.72        None
-----------------------------------------------------------------------------------------------------------------
Run set 1                                           done                          4574.37     4609.50           -

Statistics:            160 Files
  correct:             116
    correct true:       81
    correct false:      35
  incorrect:            17
    incorrect true:      5
    incorrect false:    12
  unknown:              27
  Score:              -155 (max: 268)
