   BENCHMARK INFORMATION
Ultimate
benchmark definition:    benchmark-defs/Ultimate.xml
name:                    Ultimate
run sets:                thesis-all
date:                    Mon, 2023-04-17 20:43:44 EDT
tool:                    Ultimate 0.2.3-863304a1
tool executable:         /home/rjf/fast/ultimate/UAutomizer-linux/Ultimate.py
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



thesis-all
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
loop-invgen/apache-escape-absolute.yml                    true                            15.75        5.94        None
loop-invgen/apache-get-tag.i.p+lhb-reducer.yml            true                            26.15        9.14        None
loop-invgen/apache-get-tag.i.p+nlh-reducer.yml            true                            54.19       22.03        None
loop-invgen/apache-get-tag.i.p+sep-reducer.yml            true                            94.80       52.29        None
loop-invgen/apache-get-tag.i.v+lhb-reducer.yml            true                           154.14      133.75        None
loop-invgen/apache-get-tag.i.v+nlh-reducer.yml            true                            60.83       42.34        None
loop-invgen/apache-get-tag.yml                            true                            16.57        6.11        None
loop-invgen/down.yml                                      TIMEOUT                        243.40      181.00        None
loop-invgen/fragtest_simple.yml                           TIMEOUT                        247.53      181.00        None
loop-invgen/half_2.yml                                    TIMEOUT                        236.05      181.00        None
loop-invgen/heapsort.yml                                  TIMEOUT                        207.62      181.01        None
loop-invgen/id_build.i.p+nlh-reducer.yml                  true                            19.34        7.01        None
loop-invgen/id_build.i.p+sep-reducer.yml                  true                            19.97        7.02        None
loop-invgen/id_build.i.v+lhb-reducer.yml                  true                            12.11        4.77        None
loop-invgen/id_build.yml                                  true                            11.80        4.60        None
loop-invgen/id_trans.yml                                  false(unreach-call)             11.54        4.75        None
loop-invgen/large_const.yml                               true                            16.76        7.06        None
loop-invgen/nest-if3.yml                                  true                            11.37        4.56        None
loop-invgen/nested6.yml                                   true                            22.77        9.05        None
loop-invgen/nested9.yml                                   true                            16.75        7.10        None
loop-invgen/sendmail-close-angle.yml                      true                            27.35       10.37        None
loop-invgen/seq-3.yml                                     TIMEOUT                        223.87      181.00        None
loop-invgen/string_concat-noarr.yml                       TIMEOUT                        230.78      181.00        None
loop-invgen/up.yml                                        TIMEOUT                        244.99      181.00        None
loop-lit/afnp2014.yml                                     true                            13.48        5.45        None
loop-lit/bhmr2007.yml                                     true                            17.03        6.66        None
loop-lit/cggmp2005.yml                                    true                            12.93        5.42        None
loop-lit/cggmp2005_variant.yml                            true                            16.17        6.98        None
loop-lit/cggmp2005b.yml                                   true                            12.79        5.41        None
loop-lit/css2003.yml                                      true                            12.53        5.20        None
loop-lit/ddlm2013.yml                                     true                            19.40        9.55        None
loop-lit/gcnr2008.yml                                     false(unreach-call)             10.53        4.40        None
loop-lit/gj2007.c.i.p+lhb-reducer.yml                     true                            55.13       24.86        None
loop-lit/gj2007.c.i.p+nlh-reducer.yml                     true                            69.95       29.43        None
loop-lit/gj2007.yml                                       true                            51.15       22.32        None
loop-lit/gj2007b.yml                                      true                            14.54        5.95        None
loop-lit/gr2006.yml                                       true                            64.99       30.17        None
