   BENCHMARK INFORMATION
Mcmillan
benchmark definition:    benchmark-defs/Mcmillan.xml
name:                    Mcmillan
run sets:                thesis-all
date:                    Tue, 2023-04-18 14:48:24 EDT
tool:                    Mcmillan
tool executable:         ~/fast/duet-IW/duet.exe
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



thesis-all
Run set 1 of 1 with options '-mcl-plain' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
loop-lit/gsv2008.c.i.p+cfa-reducer.yml                    true                             0.51        0.45        None
loop-lit/gsv2008.c.i.v+cfa-reducer.yml                    true                             0.52        0.44        None
loop-lit/gsv2008.c.i.v+lhb-reducer.yml                    true                             0.50        0.43        None
loop-lit/gsv2008.yml                                      true                             0.48        0.41        None
loop-lit/hhk2008.yml                                      TIMEOUT                        180.98      181.03        None
loop-lit/jm2006.c.i.v+cfa-reducer.yml                     TIMEOUT                        180.98      181.03        None
loop-lit/jm2006.yml                                       TIMEOUT                        180.98      181.03        None
loop-lit/jm2006_variant.yml                               TIMEOUT                        181.01      181.03        None
loop-new/count_by_1.yml                                   TIMEOUT                        180.94      181.02        None
loop-new/count_by_1_variant.yml                           TIMEOUT                        180.96      181.02        None
loop-new/count_by_2.yml                                   TIMEOUT                        180.94      181.02        None
loop-new/count_by_k.yml                                   TIMEOUT                        181.25      181.02        None
loop-new/count_by_nondet.yml                              TIMEOUT                        180.96      181.03        None
loop-new/gauss_sum.i.p+cfa-reducer.yml                    unknown                          0.46        0.40        None
loop-new/gauss_sum.i.p+lhb-reducer.yml                    unknown                          0.53        0.46        None
loop-new/gauss_sum.i.v+cfa-reducer.yml                    unknown                          0.46        0.39        None
loop-new/gauss_sum.yml                                    unknown                          0.43        0.36        None
loop-new/half.yml                                         TIMEOUT                        181.02      181.02        None
loop-new/nested-1.yml                                     unknown                          0.60        0.53        None
loop-industry-pattern/mod3.c.v+cfa-reducer.yml            true                             0.49        0.42        None
loop-industry-pattern/mod3.c.v+lhb-reducer.yml            unknown                          0.79        0.71        None
loop-industry-pattern/mod3.c.v+sep-reducer.yml            unknown                          0.77        0.70        None
loop-industry-pattern/mod3.yml                            true                             0.46        0.39        None
loop-invariants/bin-suffix-5.yml                          false                            0.34        0.27        None
loop-invariants/const.yml                                 unknown                          0.45        0.39        None
loop-invariants/eq1.yml                                   true                             0.39        0.32        None
loop-invariants/eq2.yml                                   true                             0.36        0.30        None
loop-invariants/even.yml                                  true                             0.38        0.31        None
loop-invariants/linear-inequality-inv-a.yml               false                            0.80        0.67        None
loop-invariants/linear-inequality-inv-b.yml               false                            0.80        0.66        None
loop-invariants/mod4.yml                                  true                             0.38        0.31        None
loop-invariants/odd.yml                                   true                             0.37        0.31        None
loop-simple/deep-nested.yml                               unknown                          1.57        1.50        None
loop-simple/nested_1.yml                                  true                             0.82        0.75        None
loop-simple/nested_1b.yml                                 false                            0.63        0.57        None
loop-simple/nested_2.yml                                  unknown                          0.56        0.49        None
loop-simple/nested_3.yml                                  unknown                          0.70        0.64        None
loop-simple/nested_4.yml                                  unknown                          0.87        0.80        None
loop-simple/nested_5.yml                                  unknown                          1.07        1.00        None
loop-simple/nested_6.yml                                  unknown                          1.30        1.23        None
loop-zilu/benchmark02_linear.yml                          true                             0.40        0.34        None
loop-zilu/benchmark02_linear_abstracted.yml               true                             0.33        0.26        None
loop-zilu/benchmark04_conjunctive.yml                     TIMEOUT                        180.96      181.03        None
loop-zilu/benchmark05_conjunctive.yml                     TIMEOUT                        181.07      181.02        None
loop-zilu/benchmark09_conjunctive.yml                     TIMEOUT                        180.98      181.03        None
loop-zilu/benchmark10_conjunctive.yml                     true                             0.47        0.40        None
loop-zilu/benchmark11_linear.yml                          true                             0.47        0.40        None
loop-zilu/benchmark11_linear_abstracted.yml               true                             0.35        0.28        None
loop-zilu/benchmark14_linear.yml                          true                             0.40        0.33        None
loop-zilu/benchmark17_conjunctive.yml                     true                             0.40        0.33        None
loop-zilu/benchmark18_conjunctive.yml                     true                             0.51        0.45        None
loop-zilu/benchmark19_conjunctive.yml                     true                             0.55        0.49        None
loop-zilu/benchmark20_conjunctive.yml                     true                             0.45        0.38        None
loop-zilu/benchmark23_conjunctive.yml                     TIMEOUT                        180.97      181.03        None
loop-zilu/benchmark25_linear.yml                          true                             1.67        1.60        None
loop-zilu/benchmark25_linear_abstracted.yml               true                             0.33        0.26        None
loop-zilu/benchmark26_linear.yml                          true                             0.42        0.36        None
loop-zilu/benchmark26_linear_abstracted.yml               true                             0.33        0.26        None
loop-zilu/benchmark32_linear.yml                          true                             0.67        0.53        None
loop-zilu/benchmark33_linear.yml                          true                             0.46        0.40        None
loop-zilu/benchmark34_conjunctive.yml                     true                             0.56        0.50        None
loop-zilu/benchmark35_linear.yml                          true                             0.43        0.36        None
loop-zilu/benchmark37_conjunctive.yml                     true                             0.38        0.31        None
loop-zilu/benchmark43_conjunctive.yml                     true                             0.62        0.55        None
loop-zilu/benchmark43_conjunctive_abstracted.yml          false                            0.34        0.27        None
loop-zilu/benchmark51_polynomial.yml                      true                             0.67        0.53        None
loop-zilu/benchmark52_polynomial.yml                      unknown                          0.37        0.30        None
nla-digbench/bresenham-ll.yml                             unknown                          0.40        0.33        None
nla-digbench/cohencu-ll.yml                               unknown                          0.87        0.72        None
nla-digbench/cohendiv-ll.yml                              unknown                          0.86        0.72        None
nla-digbench/dijkstra-u.yml                               unknown                          0.88        0.74        None
nla-digbench/divbin.yml                                   unknown                          0.67        0.53        None
nla-digbench/divbin2.yml                                  unknown                          0.42        0.36        None
nla-digbench/egcd-ll.yml                                  unknown                          0.77        0.62        None
nla-digbench/egcd2-ll.yml                                 unknown                          0.95        0.82        None
nla-digbench/egcd3-ll.yml                                 unknown                          1.08        0.94        None
nla-digbench/fermat1-ll.yml                               unknown                          0.79        0.66        None
nla-digbench/fermat2-ll.yml                               unknown                          0.63        0.49        None
nla-digbench/geo1-ll.yml                                  unknown                          0.63        0.50        None
nla-digbench/geo1-u.yml                                   unknown                          0.39        0.32        None
nla-digbench/geo2-ll.yml                                  unknown                          0.41        0.34        None
nla-digbench/geo3-ll.yml                                  unknown                          0.38        0.32        None
nla-digbench/hard-ll.yml                                  true                             0.89        0.75        None
nla-digbench/hard-u.yml                                   true                             0.88        0.74        None
nla-digbench/hard2.yml                                    true                             0.63        0.56        None
nla-digbench/lcm1.yml                                     true                             0.98        0.84        None
nla-digbench/lcm2.yml                                     unknown                          0.69        0.55        None
nla-digbench/mannadiv.yml                                 unknown                          0.66        0.51        None
nla-digbench/prod4br-ll.yml                               unknown                          0.88        0.75        None
nla-digbench/prodbin-ll.yml                               unknown                          0.64        0.50        None
nla-digbench/ps2-ll.yml                                   unknown                          0.40        0.33        None
nla-digbench/ps3-ll.yml                                   unknown                          0.61        0.48        None
nla-digbench/ps4-ll.yml                                   unknown                          0.63        0.49        None
nla-digbench/ps5-ll.yml                                   unknown                          0.63        0.49        None
nla-digbench/ps6-ll.yml                                   unknown                          0.63        0.51        None
nla-digbench/sqrt1-ll.yml                                 unknown                          0.48        0.41        None
openssl-simplified/s3_srvr_1b.cil.yml                     unknown                          0.84        0.77        None
-----------------------------------------------------------------------------------------------------------------------
Run set 1                                                 done                          5528.04     5549.84           -

Statistics:            182 Files
  correct:              98
    correct true:       86
    correct false:      12
  incorrect:             9
    incorrect true:      4
    incorrect false:     5
  unknown:              75
  Score:               -24 (max: 345)
