tool		CRAMC 	CRAMC 	CRAMC 	CRAMC 	CRAMC 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1
run set		CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all
tasks/		status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
loops/while_infinite_loop_2.yml	true	true	0.328538076	0.25998823798727244	127.307776	7.821411						true	11.168979135	4.463172877000034	275.308544	166.786621
loops/while_infinite_loop_3.yml	true	true	0.571635349	0.43155958500574343	163.442688	12.886841						true	10.77383058	4.406276378002076	263.143424	162.251526
loops/while_infinite_loop_4.yml	false	false	0.57150962	0.42835335100244265	163.160064	12.981262						false(unreach-call)	10.472251529	4.335779486002139	273.612800	158.712524
loop-acceleration/const_1-1.yml	true	true	0.389279574	0.32171766099054366	234.450944	9.318298	TIMEOUT	180.901131611	181.01797484500275	327.835648	5753.428101	true	15.887561064	7.155603735001932	303.816704	243.845459
loop-acceleration/const_1-2.yml	false	false	1.976505226	1.9142903949978063	235.028480	51.311157	TIMEOUT	180.941337063	181.02138788798766	327.938048	5409.015686	TIMEOUT	198.49925738	181.00937199599866	391.905280	4935.269531
loop-acceleration/const_1-2_abstracted.yml	false	false	0.293894741	0.22369027099921368	88.584192	6.834351	false	0.296366497	0.288275719009107	88.100864	12.241943	false(unreach-call)	10.129784876	4.24649528900045	270.049280	153.607300
loop-acceleration/diamond_1-1.yml	true	true	0.389147981	0.3205420470039826	200.359936	9.386963	TIMEOUT	180.835571323	181.0180357789941	1934.184448	5571.761841	true	51.127407805	29.797727989000123	355.463168	950.883606
loop-acceleration/diamond_1-2.yml	false	false	0.551411209	0.4841440020099981	199.213056	13.381165						TIMEOUT	204.440662304	181.00457254600042	379.961344	5000.727600
loop-acceleration/diamond_2-2.yml	true	true	0.398453724	0.3327534510026453	200.962048	9.870422						true	18.31224324	7.065572276002058	333.774848	268.085083
loop-acceleration/functions_1-1.yml	true	true	0.635605251	0.5026224269968225	253.227008	14.845337						true	32.723301562	18.178427132999786	369.750016	586.140930
loop-acceleration/functions_1-2.yml	false	TIMEOUT	180.9883338	181.02822455699788	601.464832	4821.411255						TIMEOUT	197.530549299	181.00444009100102	396.730368	4918.195190
loop-acceleration/multivar_1-1.yml	true	true	0.363844965	0.300032163009746	163.635200	8.861389						true	10.819657451	4.514902704999258	272.855040	160.529175
loop-acceleration/multivar_1-2.yml	false	false	2.026465627	1.9554925270058447	165.543936	52.128052						false(unreach-call)	10.144595883	4.230474181000318	261.844992	152.382385
loop-acceleration/nested_1-1.yml	true	true	0.471461803	0.40452607499901205	360.931328	11.396240						true	46.189427467	25.20457176599666	395.010048	820.423401
loop-acceleration/nested_1-2.yml	false	TIMEOUT	180.899365749	181.03030327499437	568.836096	4689.664490						TIMEOUT	202.962087337	181.00482030299827	497.389568	4943.584717
loop-acceleration/overflow_1-1.yml	true	true	0.366193869	0.293501403008122	198.549504	8.955750						true	13.521674501	5.398795738001354	324.046848	194.555603
loop-acceleration/phases_1-1.yml	true	TIMEOUT	180.909054962	181.03099108800234	540.823552	4670.682068						TIMEOUT	205.894107738	181.0050952859965	381.820928	5010.828552
loop-acceleration/phases_1-2.yml	false	TIMEOUT	180.905806046	181.02980408900476	542.990336	4595.271301						TIMEOUT	199.674212707	181.00497739799903	375.730176	4928.975891
loop-acceleration/phases_2-1.yml	false	TIMEOUT	181.230943956	181.16769448200648	4013.699072	4718.462891						false(unreach-call)	10.74867461	4.299425409000833	279.478272	156.952820
loop-acceleration/phases_2-2.yml	true	TIMEOUT	181.198795797	181.18341389899433	4581.154816	5073.510193						true	17.970520684	9.658816584000306	304.705536	310.105652
loop-acceleration/simple_1-1.yml	false	TIMEOUT	180.857580222	181.02414993100683	394.551296	4621.020874						TIMEOUT	195.664785827	181.00431033499626	372.686848	4889.897644
loop-acceleration/simple_1-1_abstracted.yml	false	false	0.292365537	0.22140658801072277	88.567808	6.804993						false(unreach-call)	10.581877236	4.313656587997684	243.793920	158.097412
loop-acceleration/simple_1-2.yml	true	true	0.366918878	0.30031556700123474	198.787072	8.511047						true	14.993542873	6.301078068994684	294.367232	219.376404
loop-acceleration/simple_1-2_abstracted.yml	true	true	0.297505698	0.22802467599103693	89.391104	6.827759						true	11.628618718	4.555368556997564	291.004416	168.211853
loop-acceleration/simple_2-1.yml	true	true	0.349280692	0.29332230699947104	163.426304	8.293762						true	11.00958356	4.420119062997401	270.483456	163.034851
loop-acceleration/simple_2-1_abstracted.yml	true	true	0.297602524	0.24067297999863513	89.452544	7.310547						true	11.305853239	4.497215023002354	256.987136	165.394958
loop-acceleration/simple_2-2.yml	false	TIMEOUT	180.910117612	181.02017260900175	359.284736	4585.135437						false(unreach-call)	9.993986315	4.198691774996405	257.789952	151.843689
loop-acceleration/simple_3-1.yml	false	unknown	0.604867474	0.4596618759969715	216.641536	13.680786						false(unreach-call)	9.940265643	4.245478299002571	253.026304	152.185730
loop-acceleration/simple_3-2.yml	true	true	0.606414735	0.47391143201093655	217.571328	14.122253						true	14.006720558	5.403101847994549	341.676032	201.877136
loop-acceleration/simple_4-1.yml	false	TIMEOUT	180.791736454	181.02425056300126	432.087040	4779.014160						TIMEOUT	194.062369024	181.00462311199954	336.515072	4882.554932
loop-acceleration/simple_4-1_abstracted.yml	false	false	0.291212841	0.2309411799942609	88.596480	6.959778						false(unreach-call)	11.148595506	4.666062552998483	263.151616	167.371460
loop-acceleration/simple_4-2.yml	true	true	0.384074563	0.31775904100504704	234.364928	9.129333						true	13.001083667	5.243869225996605	289.873920	186.651794
loop-acceleration/simple_4-2_abstracted.yml	true	true	0.297987471	0.23227290499198716	90.017792	6.959412						true	11.790753769	4.5852813010060345	283.664384	169.005188
loop-acceleration/underapprox_1-1.yml	false	false	0.403305928	0.33526083298784215	233.603072	9.835938						false(unreach-call)	14.183848615	6.079091120998783	298.668032	213.690613
loop-acceleration/underapprox_1-2.yml	true	TIMEOUT	181.000243066	181.02637956099352	989.876224	4680.570801						TIMEOUT	191.549633805	181.004308122996	364.441600	4803.517822
loop-acceleration/underapprox_2-1.yml	false	false	0.397251295	0.326371504997951	233.676800	9.262634						false(unreach-call)	14.354157391	6.13290654100274	342.982656	213.448181
loop-acceleration/underapprox_2-2.yml	true	true	0.3918722	0.3278526049980428	234.610688	9.896545						true	13.222338695	5.476589032004995	318.922752	193.277893
loop-crafted/simple_vardep_1.yml	true	true	0.431285027	0.36990746099036187	217.608192	10.533020						true	13.061724123	5.1454928979947	309.129216	188.620300
loop-crafted/simple_vardep_2.yml	true	true	0.461798571	0.38981274400430266	217.354240	11.258484						true	15.132780503	6.390265185000317	307.060736	224.699402
loop-invgen/MADWiFi-encode_ie_ok.yml	true	true	0.728417042	0.6614330849988619	717.037568	18.020325						true	17.132897343	6.762611525002285	321.286144	246.008850
loop-invgen/NetBSD_loop.yml	true	true	0.505373038	0.4412284389982233	415.342592	12.750610						true	14.465857135	5.812735620995227	311.963648	209.189026
loop-invgen/SpamAssassin-loop.i.v+cfa-reducer.yml	true	TIMEOUT	181.241641934	181.19762177899247	5062.918144	4993.014526						TIMEOUT	197.021484228	181.00464457400085	1286.303744	4975.886169
loop-invgen/SpamAssassin-loop.yml	true	TIMEOUT	181.172616766	181.1153533799952	2573.524992	4763.694763						true	15.89737719	6.098660183000902	274.092032	228.380005
loop-invgen/apache-escape-absolute.i.v+cfa-reducer.yml	true	true	3.736233513	3.6624654899933375	3062.673408	94.583679						true	47.30079832	30.229849928000476	530.300928	949.594910
loop-invgen/apache-escape-absolute.yml	true	true	2.322373605	2.254522741000983	2587.938816	60.144226						true	15.749060821	5.9388683430006495	306.552832	224.870422
loop-invgen/apache-get-tag.i.p+lhb-reducer.yml	true	true	10.74465661	10.6580030490004	4493.709312	274.260620						true	26.151182514	9.139355998995597	375.209984	368.918701
loop-invgen/apache-get-tag.i.p+nlh-reducer.yml	true	TIMEOUT	181.34630805	181.243458500001	6841.192448	4627.738831						true	54.194214981	22.02626799800055	1077.329920	835.033630
loop-invgen/apache-get-tag.i.p+sep-reducer.yml	true	TIMEOUT	181.436936827	181.3190267280006	9767.849984	4836.297729						true	94.795677694	52.285837261995766	1387.470848	1733.722595
loop-invgen/apache-get-tag.i.v+lhb-reducer.yml	true	true	3.488344471	3.419354450990795	2611.744768	87.981567						true	154.138911587	133.74810150900157	1046.999040	3780.833740
